date,description,amount,type
2025-01-16,Insurance premium,952.29,debit
2025-01-17,Online shopping,397.67,debit
2025-01-18,PhonePe credit,717.86,credit
2025-01-18,EMI debit,363.43,debit
2025-01-19,Paytm credit,1035.62,credit
2025-01-20,Trip earning,1388.91,credit
2025-01-21,Rent payment,370.81,debit
2025-01-22,Rent payment,345.29,debit
2025-01-23,Medicine,448.05,debit
2025-01-24,Electricity bill,557.05,debit
2025-01-26,Fuel recharge,379.62,debit
2025-01-27,Fuel recharge,398.09,debit
2025-01-27,Grocery,891.25,debit
2025-01-28,BHIM UPI credit,1371.77,credit
2025-01-29,Ola driver payout,638.71,credit
2025-01-29,EMI debit,395.99,debit
2025-01-30,BHIM UPI credit,471.99,credit
2025-01-31,Medicine,384.66,debit
2025-02-01,EMI debit,7036.46,debit
2025-02-01,Grocery,482.91,debit
2025-02-02,Online shopping,1199.98,debit
2025-02-03,Fuel recharge,253.53,debit
2025-02-04,Food order,338.92,debit
2025-02-05,Insurance premium,381.68,debit
2025-02-07,Mobile recharge,213.3,debit
2025-02-08,PhonePe credit,1199.5,credit
2025-02-09,Trip earning,998.52,credit
2025-02-09,Grocery,755.01,debit
2025-02-10,BHIM UPI credit,1514.0,credit
2025-02-13,Electricity bill,487.96,debit
2025-02-14,Insurance premium,974.81,debit
2025-02-15,Electricity bill,304.21,debit
2025-02-16,Urban Company booking,856.8,credit
2025-02-17,BHIM UPI credit,1113.89,credit
2025-02-17,Fuel recharge,206.72,debit
2025-02-17,Insurance premium,923.26,debit
2025-02-18,Job completed payout,509.89,credit
2025-02-18,Fuel recharge,836.41,debit
2025-02-19,Medicine,477.0,debit
2025-02-20,Online shopping,193.64,debit
2025-02-20,Rent payment,612.22,debit
2025-02-21,Electricity bill,329.67,debit
2025-02-22,Online shopping,468.68,debit
2025-02-24,Grocery,288.76,debit
2025-02-25,Food order,178.56,debit
2025-02-26,Insurance premium,184.68,debit
2025-02-27,Trip earning,998.38,credit
2025-02-27,Online shopping,201.12,debit
2025-02-27,EMI debit,1142.18,debit
2025-02-28,Ola driver payout,664.81,credit
2025-02-28,Online shopping,440.89,debit
2025-03-01,Trip earning,994.11,credit
2025-03-01,Grocery,7938.22,debit
2025-03-02,Urban Company booking,290.14,credit
2025-03-02,Medicine,225.48,debit
2025-03-02,Medicine,1158.16,debit
2025-03-05,Food order,233.45,debit
2025-03-06,Mobile recharge,1085.68,debit
2025-03-07,Food order,337.62,debit
2025-03-08,Insurance premium,401.49,debit
2025-03-09,Electricity bill,273.49,debit
2025-03-10,Electricity bill,383.88,debit
2025-03-11,Job completed payout,728.31,credit
2025-03-11,Online shopping,483.69,debit
2025-03-12,Job completed payout,1892.0,credit
2025-03-13,Urban Company booking,1334.97,credit
2025-03-13,Electricity bill,455.67,debit
2025-03-13,Mobile recharge,770.82,debit
2025-03-14,Rent payment,411.56,debit
2025-03-15,Medicine,234.39,debit
2025-03-16,Online shopping,353.67,debit
2025-03-17,Insurance premium,273.3,debit
2025-03-19,Urban Company booking,865.84,credit
2025-03-20,Job completed payout,857.59,credit
2025-03-20,Online shopping,213.8,debit
2025-03-20,Fuel recharge,1001.23,debit
2025-03-21,Job completed payout,832.18,credit
2025-03-21,Fuel recharge,641.11,debit
2025-03-23,Fuel recharge,258.53,debit
2025-03-25,Mobile recharge,376.42,debit
2025-03-26,Paytm credit,964.14,credit
2025-03-26,Electricity bill,959.01,debit
2025-03-27,Job completed payout,650.09,credit
2025-03-27,EMI debit,429.77,debit
2025-03-28,Swiggy payment received,803.17,credit
2025-03-28,Online shopping,303.91,debit
2025-03-29,Swiggy payment received,1093.73,credit
2025-03-29,EMI debit,215.39,debit
2025-03-30,Ola driver payout,1444.97,credit
2025-03-30,Mobile recharge,429.05,debit
2025-03-31,Medicine,298.57,debit
2025-04-01,Online shopping,8990.2,debit
2025-04-01,Mobile recharge,252.82,debit
2025-04-01,Electricity bill,729.54,debit
2025-04-02,Medicine,306.07,debit
2025-04-03,Electricity bill,305.37,debit
2025-04-07,Mobile recharge,384.91,debit
2025-04-08,Swiggy payment received,1086.2,credit
2025-04-08,Insurance premium,412.46,debit
2025-04-08,Medicine,521.8,debit
2025-04-09,Job completed payout,889.16,credit
2025-04-10,BHIM UPI credit,502.09,credit
2025-04-10,Grocery,194.18,debit
2025-04-12,Medicine,607.41,debit
2025-04-13,Electricity bill,279.84,debit
2025-04-14,Online shopping,198.19,debit
2025-04-15,Online shopping,247.54,debit
2025-04-16,Online shopping,215.12,debit
2025-04-17,PhonePe credit,663.47,credit
2025-04-17,EMI debit,1042.48,debit
2025-04-18,Job completed payout,973.57,credit
2025-04-19,Google Pay received,477.05,credit
2025-04-21,Medicine,175.92,debit
2025-04-21,Grocery,999.36,debit
2025-04-25,EMI debit,251.63,debit
2025-04-26,Fuel recharge,398.35,debit
2025-04-27,Electricity bill,276.52,debit
2025-04-28,Job completed payout,526.62,credit
2025-04-29,Swiggy payment received,200.0,credit
2025-04-29,Electricity bill,322.91,debit
2025-04-30,Customer payment,1135.19,credit
2025-04-30,Food order,313.59,debit
