Date,Description,Amount,Type,Balance
2025-03-06,SWIGGY TECHNOLOGIES PVT LTD,1040,Credit,39344
2025-03-07,BIGBASKET,-800,Debit,38544
2025-03-08,SWIGGY TECHNOLOGIES PVT LTD,1120,Credit,39664
2025-03-09,SWIGGY TECHNOLOGIES PVT LTD,1060,Credit,40724
2025-03-10,PETROL PUMP HPCL,-510,Debit,40214
2025-03-11,SWIGGY TECHNOLOGIES PVT LTD,1080,Credit,41294
2025-03-12,SWIGGY TECHNOLOGIES PVT LTD,1000,Credit,42294
2025-03-13,PHONE RECHARGE JIO,-299,Debit,41995
2025-03-14,SWIGGY TECHNOLOGIES PVT LTD,1100,Credit,43095
2025-03-15,SWIGGY TECHNOLOGIES PVT LTD,1060,Credit,44155
2025-03-16,PETROL PUMP BPCL,-510,Debit,43645
2025-03-17,SWIGGY TECHNOLOGIES PVT LTD,1120,Credit,44765
2025-03-18,SWIGGY TECHNOLOGIES PVT LTD,1040,Credit,45805
2025-03-19,MEDICAL STORE,-340,Debit,45465
2025-03-20,SWIGGY TECHNOLOGIES PVT LTD,1080,Credit,46545
2025-03-21,SWIGGY TECHNOLOGIES PVT LTD,1100,Credit,47645
2025-03-22,PETROL PUMP HPCL,-520,Debit,47125
2025-03-23,SWIGGY TECHNOLOGIES PVT LTD,1140,Credit,48265
2025-03-24,SWIGGY TECHNOLOGIES PVT LTD,1060,Credit,49325
2025-03-25,BIGBASKET,-820,Debit,48505
2025-03-26,SWIGGY TECHNOLOGIES PVT LTD,1100,Credit,49605
2025-03-27,SWIGGY TECHNOLOGIES PVT LTD,1080,Credit,50685
2025-03-28,PETROL PUMP BPCL,-520,Debit,50165
2025-03-29,SWIGGY TECHNOLOGIES PVT LTD,1120,Credit,51285
2025-03-30,SWIGGY TECHNOLOGIES PVT LTD,1060,Credit,52345
2025-03-31,HOUSE RENT TRANSFER,-6500,Debit,45845
